"core.use","general.use","ID"
0.14,0.83,"C69B"
0.1275,0.5175,"C69C"
0.3175,1.82,"E07"
0.1275,1.6975,"F7F"
0.34,1.5975,"O82"
0.01,0.0325,"X267"
0.5525,3.365,"X345"
0.005,0.005,"X511"
