"core.use","general.use","ID"
"0.02","0.1","C69A"
"0.22","1.52","C69B"
"0.38","2.5","C69C"
"0.03","0.5","D40"
"0.58","3.05","E07"
"0","0.02","E50"
"0.34","2.71","F7F"
"0.39","1.77","O82"
"0.15","1.07","X267"
"0.68","2.95","X345"
"0.07","0.66","X437"
"0.01","1.23","X511"
"0.4","2.18","X85F"
"0.25","1.56","mean_across_UDs"
"0.23","1.06","sd_across_UDs"
"0.56","5.69","Group-level_UD"
