"core.use","general.use","ID"
"0.22","2.58","C69C"
"0.06","0.25","E07"
"0.06","0.28","X267"
"0.03","0.1","X437"
"0","0.01","X511"
"0.38","1.92","X85F"
"0.12","0.86","mean_across_UDs"
"0.15","1.1","sd_across_UDs"
"0.22","2.68","Group-level_UD"
