"core.use","general.use","ID"
0.1525,0.6575,"C69B"
0.1175,0.7625,"C69C"
0.0275,0.1825,"D40"
0.1375,0.865,"E07"
0.1675,1.3225,"X267"
0.0875,0.5925,"X511"
