"core.use","general.use","ID"
"0.14","0.83","C69B"
"0.13","0.52","C69C"
"0.32","1.82","E07"
"0.13","1.7","F7F"
"0.34","1.6","O82"
"0.01","0.03","X267"
"0.55","3.37","X345"
"0","0","X511"
"0.2","1.23","mean_across_UDs"
"0.19","1.13","sd_across_UDs"
"0.42","4.22","Group-level_UD"
