"core.use","general.use","ID"
0.02,0.095,"C69A"
0.22,1.5175,"C69B"
0.375,2.495,"C69C"
0.0275,0.505,"D40"
0.5775,3.05,"E07"
0.005,0.02,"E50"
0.3425,2.71,"F7F"
0.39,1.7725,"O82"
0.1475,1.075,"X267"
0.68,2.9475,"X345"
0.0725,0.6625,"X437"
0.0125,1.2275,"X511"
0.395,2.18,"X85F"
