"GPS.N","GPS.W","location","location.code","mooring","Hobo.present","Agency","depth","habitattype","year"
"25.55121","-76.74298","R19 LH Beach","R19",NA,"n","CEI","3.05","sand",NA
"25.56891","-76.72741","R21 Cotton Bay","R21",NA,"n","CEI","10.67","Sand, nearby reef",NA
"25.46621","-76.61865","R39 Glass Window North","39",NA,"n","CEI","6.7","thick turtle grass","n"
"25.51858","-76.62981","R41 HI North Channel","41",NA,"n","CEI","6.1","sand","n"
"25.52803","-76.63049","R42 HI North","42",NA,"n","CEI","3","sand,manatee grass, algae","n"
"25.55514","-76.64508","R43 Man Island","43",NA,"n","CEI","4.6","sand, algae","n"
"25.55841","-76.7402","R45 Spanish Wells Point","45",NA,"n","CEI","3.7","sand","n"
"25.55514","-76.75503","R46 Spanish Wells Inside","46",NA,"n","CEI","1.5","sand, seagrass","n"
"25.54337","-76.81297","R47 Spanish Wells West","47",NA,"n","CEI","3.7","sand","n"
"38.36903","-74.79847","AN2","AN2",NA,"n","Chesapeake Biological Lab",NA,NA,NA
"38.30405","-74.76174","AS3","AS3",NA,"n","Chesapeake Biological Lab",NA,NA,NA
"26.3513","-80.06557","Boca Raton South Beach Park","BRSB",NA,"n","FAU","7.6","sandy area with no reef in sight of the receiver itself",NA
"27.4715","-80.28425","Fort Pierce Line 1","FPL1",NA,"n","FAU",NA,NA,NA
"27.47216","-80.27912","Fort Pierce Line 2","FPL2",NA,"n","FAU",NA,NA,NA
"27.473","-80.27385","Fort Pierce Line 3","FPL3",NA,"n","FAU",NA,NA,NA
"27.47348","-80.26867","Fort Pierce Line 4","FPL4",NA,"n","FAU",NA,NA,NA
"27.47462","-80.26355","Fort Pierce Line 5","FPL5",NA,"n","FAU",NA,NA,NA
"25.0655","-80.32467","Key Largo Sandy Bottom","KELA",NA,"n","FAU",NA,"sand","n"
"26.61262","-80.03091","Lake Worth Pier","LAWP",NA,"n","FAU",NA,NA,NA
"27.7911","-80.44488","SBPI","SBPI",NA,"n","FAU",NA,NA,NA
"27.90041","-80.49421","SCLN","SCLN",NA,"n","FAU",NA,NA,NA
"26.78465","-80.02727","Singer Island","SIIS",NA,"n","FAU",NA,NA,NA
"27.76548","-80.41981","WBNE","WBNE",NA,"n","FAU",NA,NA,NA
"27.75918","-80.41548","WBSE","WBSE",NA,"n","FAU",NA,NA,NA
"24.94994","-80.45356","ARB-01","ARB-01",NA,"n","FIUARBR",NA,NA,NA
"24.94994","-80.45356","ARB-02","ARB-02",NA,"n","FIUARBR",NA,NA,NA
"24.95007","-80.4555","ARB-05","ARB-05",NA,"n","FIUARBR",NA,NA,NA
"24.9464","-80.45979","ARB-07","ARB-07",NA,"n","FIUARBR",NA,NA,NA
"24.94264","-80.4651","ARB-08","ARB-08",NA,"n","FIUARBR",NA,NA,NA
"24.93856","-80.47784","ARB-09","ARB-09",NA,"n","FIUARBR",NA,NA,NA
"24.9455","-80.46931","ARB-10","ARB-10",NA,"n","FIUARBR",NA,NA,NA
"24.9495","-80.46349","ARB-11","ARB-11",NA,"n","FIUARBR",NA,NA,NA
"24.95502","-80.45781","ARB-12","ARB-12",NA,"n","FIUARBR",NA,NA,NA
"24.95779","-80.45224","ARB-14","ARB-14",NA,"n","FIUARBR",NA,NA,NA
"27.0054","-80.0671","3Holes","3Holes",NA,"n","FSU","16.8","natural reef",NA
"27.0253","-80.02183","GarysGreys","GarysGreys",NA,"n","FSU","25.9","natural reef",NA
"27.01283","-80.08562","Gulfland","Gulfland",NA,"n","FSU","9.1","Artificial reef",NA
"27.0672","-80.044383","Hobe1","Hobe1",NA,"n","FSU","19.8","natural reef",NA
"26.8937","-79.9858","Hole-In-Wall","Hole-In-Wall",NA,"n","FSU","37.2","natural reef",NA
"27.0504","-80.0325","RCubero","RCubero",NA,"n","FSU","19.8","natural reef",NA
"26.9746","-80.0016","SunTug","SunTug",NA,"n","FSU","21.9","artificial reef",NA
"26.9627","-80.0072","Zion","Zion",NA,"n","FSU","28","artificial reef",NA
"27.08772","-80.03191","18HO","18HO",NA,"n","FWC",NA,NA,NA
"26.9745","-80.07912","BLRO","BLRO",NA,"n","FWC",NA,NA,NA
"27.13701","-80.12241","BSBA","BSBA",NA,"n","FWC",NA,NA,NA
"27.21065","-80.10998","CEBA","CEBA",NA,"n","FWC",NA,NA,NA
"27.44612","-80.17043","Civic Center Reef","FPCC",NA,"n","FWC",NA,NA,NA
"27.2253","-80.10233","Clifton Perry Reef","CPRE",NA,"n","FWC",NA,NA,NA
"27.2253","-80.10233","CPRE","CPRE",NA,"n","FWC",NA,NA,NA
"27.20376","-80.04736","DAVT","DAVT",NA,"n","FWC",NA,NA,NA
"26.91253","-80.03388","DBNO","DBNO",NA,"n","FWC",NA,NA,NA
"27.15572","-80.05632","EVCA","EVCA",NA,"n","FWC",NA,NA,NA
"26.94536","-80.0742","FIJI","FIJI",NA,"n","FWC",NA,NA,NA
"27.44485","-80.17218","FPCC","FPCC",NA,"n","FWC",NA,NA,NA
"27.44485","-80.17218","FPL Reef","FPLR",NA,"n","FWC",NA,NA,NA
"27.01383","-80.08562","GNWR","GNWR",NA,"n","FWC",NA,NA,NA
"27.18133","-80.19238","Hell's gate east","GGHE",NA,"n","FWC","<3","Sand, mud, hash",NA
