ODBA,resting,bursting,Tidal_Phase,Diel_Phase,Season,ID,Size
0.0295,0,0,3,2,1,2,78
0.0663,98.3,0,3,2,1,2,78
0.0988,55,3.3,3,3,1,2,78
0.088,100,0,3,3,1,2,78
0.1213,88.3,0,2,4,1,2,78
0.0741,0,0,2,4,1,2,78
0.0602,0,0,1,4,1,2,78
0.1121,0,0,1,4,1,2,78
0.1095,0,0,1,4,1,2,78
0.1593,0,0,1,4,1,2,78
0.0819,0,0,1,4,1,2,78
0.0881,0,0,2,4,1,2,78
0.0688,28.3,5,2,1,1,2,78
0.079,73.3,0,3,1,1,2,78
0.0724,100,0,3,2,1,2,78
0.0615,100,0,3,2,1,2,78
0.0761,95,0,3,2,1,2,78
0.0905,0,5,2,2,1,2,78
0.0827,8.3,0,2,2,1,2,78
0.0602,0,10,1,2,1,2,78
0.0893,0,20,1,2,1,2,78
0.0998,0,0,1,2,1,2,78
0.0827,0,20,1,2,1,2,78
0.0968,0,15,1,2,1,2,78
0.1261,0,16.7,2,2,1,2,78
0.0818,0,0,2,2,1,2,78
0.0273,100,0,3,2,1,2,78
0.0713,10,16.7,3,3,1,2,78
0.0704,0,0,3,3,1,2,78
0.0791,3.3,0,3,4,1,2,78
0.0693,5,0,2,4,1,2,78
0.0669,0,3.3,2,4,1,2,78
0.0918,3.3,5,1,4,1,2,78
0.1324,0,11.7,1,4,1,2,78
0.129,0,15,1,4,1,2,78
0.1022,0,33.3,1,4,1,2,78
0.0589,6.7,26,1,4,1,2,78
0.0997,0,6.7,2,1,1,2,78
0.0725,0,0,2,1,1,2,78
0.0642,0,3.3,3,2,1,2,78
0.0821,0,15,3,2,1,2,78
0.0778,0,0,3,2,1,2,78
0.0762,0,0,3,2,1,2,78
0.0796,0,16.7,2,2,1,2,78
0.1021,1.7,0,2,2,1,2,78
0.0802,5,3.3,1,2,1,2,78
0.0614,30,0,1,2,1,2,78
0.0541,5,43.3,1,2,1,2,78
0.1046,3.3,0,1,2,1,2,78
0.0711,0,0,1,2,1,2,78
0.0799,0,0,2,2,1,2,78
0.0715,0,0,2,2,1,2,78
0.064,13.3,0,3,3,1,2,78
0.0685,0,3.3,3,3,1,2,78
0.0731,10,0,3,4,1,2,78
0.0904,0,0,3,4,1,2,78
0.0839,0,0,2,4,1,2,78
0.0674,0,0,2,4,1,2,78
0.0982,1.7,0,1,4,1,2,78
0.0855,1.7,0,1,4,1,2,78
0.0703,0,0,1,4,1,2,78
0.0778,3.3,0,1,4,1,2,78
0.086,3.3,1.7,1,1,1,2,78
0.091,0,0,2,1,1,2,78
0.0684,6.7,0,2,2,1,2,78
0.1154,95,0,3,2,1,2,78
0.104,100,0,3,2,1,2,78
0.1108,1.7,0,3,2,1,2,78
0.0996,0,1.7,3,2,1,2,78
0.0775,0,8.3,2,2,1,2,78
0.1243,3.3,1.7,2,2,1,2,78
0.093,5,0,1,2,1,2,78
0.0804,0,6.7,1,2,1,2,78
0.0848,0,0,1,2,1,2,78
0.1282,0,0,1,2,1,2,78
0.0897,0,0,1,2,1,2,78
0.0749,0,0,2,2,1,2,78
0.1399,0,0,2,3,1,2,78
0.0888,0,1.7,3,3,1,2,78
0.074,0,0,3,4,1,2,78
0.063,0,6.7,3,4,1,2,78
0.072,0,0,3,4,1,2,78
0.0757,0,11.7,2,4,1,2,78
0.1054,6.7,0,2,4,1,2,78
0.1721,1.7,0,1,4,1,2,78
0.0569,20,0,1,4,1,2,78
0.0714,0,0,1,4,1,2,78
0.0692,0,0,1,1,1,2,78
0.0258,100,0,1,1,1,2,78
0.0274,71.7,0,2,2,1,2,78
0.023,100,0,2,2,1,2,78
0.0326,100,0,3,2,1,2,78
0.027,0,0,3,2,1,2,78
0.1002,0,0,3,2,1,2,78
0.0716,0,35,3,2,1,2,78
0.0912,0,15,2,2,1,2,78
0.0951,0,0,2,2,1,2,78
0.0971,5,0,1,2,1,2,78
0.0694,0,0,1,2,1,2,78
0.1603,0,0,2,4,1,3,84
0.097,0,0.3,1,4,1,3,84
0.124,0,0,1,4,1,3,84
0.1252,0,0,1,4,1,3,84
0.0913,0,0,1,4,1,3,84
0.1153,1.7,0,1,4,1,3,84
0.1098,0,0,2,4,1,3,84
0.0935,0,0,2,4,1,3,84
0.0755,0,0,3,1,1,3,84
0.0827,0,0,3,1,1,3,84
0.117,0,0,3,2,1,3,84
0.0797,0,0,3,2,1,3,84
0.0693,0,0,2,2,1,3,84
0.0833,0,0,2,2,1,3,84
0.0787,0,0,1,2,1,3,84
0.1131,0,32,1,2,1,3,84
0.1116,1.7,16,1,2,1,3,84
0.0891,1.7,5,1,2,1,3,84
0.2714,0,0,1,2,1,3,84
0.1103,0,0.4,2,2,1,3,84
