ODBA ,resting,bursting,Tidal_Phase,Diel_Phase,Season,ID,Size
0.0864419,0,5,2,3,1,1,78
0.078589,0,0,2,3,1,1,78
0.0846787,0,3.33,2,3,1,1,78
0.0783702,0,3.33,2,3,1,1,78
0.101343,0,3.33,2,3,1,1,78
0.0976455,0,8.33,2,3,1,1,78
0.0860079,0,0,2,3,1,1,78
0.0769612,0,3.33,2,3,1,1,78
0.116571,0,0,2,3,1,1,78
0.0848283,0,16.67,2,4,1,1,78
0.0963475,0,0,2,4,1,1,78
0.115493,0,33.33,2,4,1,1,78
0.108556,0,1.67,2,4,1,1,78
0.0913138,0,0,2,4,1,1,78
0.0778362,0,0,2,4,1,1,78
0.0976852,0,0,2,4,1,1,78
0.0870167,0,3.33,2,4,1,1,78
0.116038,0,3.33,2,4,1,1,78
0.172059,0,100,2,4,1,1,78
0.0877393,0,0,2,4,1,1,78
0.0884337,1.67,1.67,2,4,1,1,78
0.0845882,0,0,2,4,1,1,78
0.090637,0,21.67,2,4,1,1,78
0.0857973,0,0,1,4,1,1,78
0.129302,0,21.67,1,4,1,1,78
0.09341,0,8.33,1,4,1,1,78
0.108578,0,0,1,4,1,1,78
0.120777,0,11.67,1,4,1,1,78
0.100837,0,0,1,4,1,1,78
0.0988529,0,1.67,1,4,1,1,78
0.0943915,0,0,1,4,1,1,78
0.102951,0,3.33,1,4,1,1,78
0.149806,0,13.33,1,4,1,1,78
0.127875,0,8.33,1,4,1,1,78
0.0712645,0,0,1,4,1,1,78
0.0714665,10,0,1,4,1,1,78
0.0717104,0,0,1,4,1,1,78
0.106193,0,11.67,1,4,1,1,78
0.187233,0,33.33,1,4,1,1,78
0.106281,0,15,1,4,1,1,78
0.091888,0,6.67,1,4,1,1,78
0.0969615,0,10,1,4,1,1,78
0.088242,0,0,1,4,1,1,78
0.165121,0,40,1,4,1,1,78
0.123684,0,30,1,4,1,1,78
0.0956545,0,6.67,1,4,1,1,78
0.0944557,0,8.33,1,4,1,1,78
0.190479,0,96.67,1,4,1,1,78
0.153181,0,100,1,4,1,1,78
